id,name,supertype,subtypes,hp,types,evolvesFrom,attacks,weaknesses,resistances,set,rarity,nationalPokedexNumbers,tcgplayer_holofoil_low,tcgplayer_holofoil_mid,tcgplayer_holofoil_high,tcgplayer_reverseHolofoil_low,tcgplayer_reverseHolofoil_mid,tcgplayer_reverseHolofoil_high,cardmarket_averageSellPrice,cardmarket_lowPrice,cardmarket_trendPrice
gym2-3,Brock's Ninetales,Pokémon,Stage 1,70,Fire,Brock's Vulpix,Will-o'-the-wisp,Water,,Gym Challenge,Rare Holo,38,,,,,,,33.54,12.0,37.92
pop1-2,Metagross,Pokémon,Stage 2,100,Metal,Metang,"Metal Claw, Hyper Beam",Fire,Grass,POP Series 1,Rare,376,0.94,2.75,8.0,,,,0.0,3.0,11.9
pl4-2,Froslass,Pokémon,Stage 1,80,Water,Snorunt,Ground Frost,Metal,,Arceus,Rare Holo,478,1.14,2.55,29.97,1.74,3.25,4.99,2.15,0.1,1.78
sm3-2,Metapod,Pokémon,Stage 1,80,Grass,Caterpie,"Ram, Shed Skin",Fire,,Burning Shadows,Uncommon,11,,,,0.04,0.25,2.0,0.06,0.02,0.06
bw10-3,Lileep,Pokémon,Restored,80,Grass,Root Fossil Lileep,Spiral Drain,Fire,Water,Plasma Blast,Uncommon,345,,,,0.5,0.87,1.74,0.33,0.03,0.26
hgss4-4,Drapion,Pokémon,Stage 1,100,Darkness,Skorupi,"Toxic Fang, Land Crush",Fighting,Psychic,HS—Triumphant,Rare Holo,452,1.0,1.72,2.99,0.85,1.47,4.0,2.85,0.1,2.38
ex13-3,Deoxys δ,Pokémon,Basic,70,Darkness,,Energy Loop,Psychic,,Holon Phantoms,Rare Holo,386,6.7,18.58,25.0,37.76,42.88,49.99,11.42,1.9,12.27
bw6-1,Hoppip,Pokémon,Basic,30,Grass,,Flail Around,Fire,Water,Dragons Exalted,Common,187,,,,0.44,0.5,4.2,0.18,0.02,0.17
xy11-4,Skiploom,Pokémon,Stage 1,70,Grass,Hoppip,Splash,Fire,,Steam Siege,Uncommon,188,,,,0.09,0.38,1.47,0.05,0.02,0.04
hgss4-5,Mamoswine,Pokémon,Stage 2,140,Water,Piloswine,"Icy Wind, Snowstorm",Metal,,HS—Triumphant,Rare Holo,473,0.97,1.73,3.4,1.17,1.52,3.29,0.87,0.1,0.71
sm5-3,Yanmega,Pokémon,Stage 1,120,Grass,Yanma,"Supersonic, Cutting Wind",Lightning,Fighting,Ultra Prism,Uncommon,469,,,,0.09,0.31,8.92,0.08,0.02,0.09
pl3-4,Electivire FB,Pokémon,"Basic, SP",90,Lightning,,"Dump and Draw, Electric Current",Fighting,Metal,Supreme Victors,Rare Holo,466,1.97,3.25,7.97,0.97,2.39,4.11,6.0,0.5,3.65
swsh4-2,Kakuna,Pokémon,Stage 1,80,Grass,Weedle,"Shed Skin, Bug Bite",Fire,,Vivid Voltage,Uncommon,14,,,,0.05,0.17,2.95,0.05,0.02,0.03
gym2-4,Erika's Venusaur,Pokémon,Stage 2,90,Grass,Erika's Ivysaur,"Growth, Wide Solarbeam",Fire,,Gym Challenge,Rare Holo,3,,,,,,,62.77,23.49,67.7
pop3-3,Jolteon,Pokémon,Stage 1,70,Lightning,Eevee,"Thundershock, Pin Missile",Fighting,Metal,POP Series 3,Rare,135,7.0,8.15,16.85,,,,9.71,4.95,12.14
base6-3,Charizard,Pokémon,Stage 2,120,Fire,Charmeleon,Fire Spin,Water,Fighting,Legendary Collection,Rare Holo,6,229.99,250.42,337.52,1485.66,3242.94,5000.22,112.13,40.0,122.56
bw4-3,Kricketot,Pokémon,Basic,60,Grass,,"Beat, Double Headbutt",Fire,,Next Destinies,Common,401,,,,0.3,0.5,1.25,0.1,0.02,0.03
hgss2-2,Magmortar,Pokémon,Stage 1,110,Fire,Magmar,"Hard Crush, Mantle Bazooka",Water,,HS—Unleashed,Rare Holo,467,0.89,1.87,4.97,1.05,1.8,3.08,2.75,0.05,3.29
swsh4-1,Weedle,Pokémon,Basic,40,Grass,,Bug Hunch,Fire,,Vivid Voltage,Common,13,,,,0.01,0.16,2.95,0.03,0.02,0.02
pop1-1,Blaziken,Pokémon,Stage 2,110,Fire,Combusken,"Fire Punch, Double Kick",Water,,POP Series 1,Rare,257,3.45,6.1,9.0,,,,19.75,4.5,18.88
bw8-1,Turtwig,Pokémon,Basic,70,Grass,,"Nap, Razor Leaf",Fire,Water,Plasma Storm,Common,387,,,,0.92,1.06,3.14,0.24,0.02,0.21
neo4-1,Dark Ampharos,Pokémon,Stage 2,70,Lightning,Dark Flaaffy,Shock Bolt,Fighting,,Neo Destiny,Rare Holo,181,,,,,,,26.14,7.0,35.37
pop7-3,Latias,Pokémon,Basic,80,Colorless,,"Miraculous Light, Mist Ball",Colorless,Fighting,POP Series 7,Rare,380,1.99,5.0,7.5,,,,5.07,0.25,3.81
hgss1-4,Gyarados,Pokémon,Stage 1,130,Water,Magikarp,"Hydro Splash, Hyper Beam",Lightning,Fighting,HeartGold & SoulSilver,Rare Holo,130,6.9,9.99,23.0,7.99,15.89,19.99,6.58,0.5,6.29
xy1-2,M Venusaur-EX,Pokémon,"MEGA, EX",230,Grass,Venusaur-EX,Crisis Vine,Fire,,XY,Rare Holo EX,3,5.26,7.25,11.21,,,,17.07,3.0,13.92
ex8-2,Beautifly,Pokémon,Stage 2,100,Grass,Silcoon,"Luring Antenna, Cutting Wind",Fire,,Deoxys,Rare Holo,267,3.35,9.98,13.39,6.29,10.87,12.76,13.36,0.45,11.15
dpp-DP02,Chimchar,Pokémon,Basic,50,Fire,,"Scratch, Ember",Water,,DP Black Star Promos,Promo,390,1.59,3.23,4.99,,,,,,
col1-3,Dialga,Pokémon,Basic,100,Metal,,Time Rewind,Fire,Psychic,Call of Legends,Rare Holo,483,2.07,9.99,17.49,1.5,4.06,14.49,15.68,0.49,12.67
bw11-2,Tangrowth,Pokémon,Stage 1,120,Grass,Tangela,"Bind Down, Flog",Fire,Water,Legendary Treasures,Rare,465,,,,0.45,0.76,1.99,0.13,0.1,0.54
ecard2-H4,Azumarill,Pokémon,Stage 1,70,Water,Marill,Aqua Sonic,Lightning,,Aquapolis,Rare Holo,184,,,,,,,44.0,5.9,27.86
neo4-2,Dark Crobat,Pokémon,Stage 2,70,Grass,Dark Golbat,Dark Drain,Psychic,Fighting,Neo Destiny,Rare Holo,169,,,,,,,40.75,9.9,46.23
base6-2,Articuno,Pokémon,Basic,70,Water,,"Freeze Dry, Blizzard",,Fighting,Legendary Collection,Rare Holo,144,30.0,46.97,49.99,188.99,219.71,250.42,15.0,7.0,17.91
si1-3,Onix,Pokémon,Basic,90,Fighting,,"Slam, Body Slam",Grass,,Southern Islands,,95,,,,,,,22.65,3.2,20.14
base4-4,Charizard,Pokémon,Stage 2,120,Fire,Charmeleon,Fire Spin,Water,Fighting,Base Set 2,Rare Holo,6,173.14,240.04,999.99,,,,147.82,60.0,122.47
bw8-2,Grotle,Pokémon,Stage 1,100,Grass,Turtwig,Knock Away,Fire,Water,Plasma Storm,Uncommon,388,,,,2.33,2.6,2.77,0.23,0.02,0.23
xy7-3,Vileplume,Pokémon,Stage 2,130,Grass,Gloom,Solar Beam,Fire,,Ancient Origins,Rare,45,,,,0.39,0.89,3.75,0.56,0.03,0.63
sm75-1,Charmander,Pokémon,Basic,70,Fire,,Fire Fang,Water,,Dragon Majesty,Common,4,,,,2.75,6.62,17.85,1.01,0.1,0.88
ex7-4,Dark Electrode,Pokémon,Stage 1,70,"Lightning, Darkness",Voltorb,Energy Bomb,Fighting,,Team Rocket Returns,Rare Holo,101,14.25,19.79,35.0,39.8,49.99,50.0,11.95,6.98,12.96
swsh1-3,Roselia,Pokémon,Basic,70,Grass,,"Sweet Scent, Sting",Fire,,Sword & Shield,Common,315,,,,0.06,0.21,20.0,0.05,0.02,0.04
xy5-4,Tangela,Pokémon,Basic,80,Grass,,"Absorb, Vine Whip",Fire,,Primal Clash,Common,114,,,,0.09,0.48,1.14,0.16,0.02,0.15
ex11-5,Flareon δ,Pokémon,Stage 1,70,"Fire, Metal",Eevee,"Delta Search, Return Burn",Water,,Delta Species,Rare Holo,136,35.53,51.29,65.51,14.3,35.0,74.99,18.48,6.0,16.55
base3-5,Gengar,Pokémon,Stage 2,80,Psychic,Haunter,Dark Mind,,Fighting,Fossil,Rare Holo,94,,,,,,,40.6,9.0,36.54
ex10-2,Ariados,Pokémon,Stage 1,70,Grass,Spinarak,"Reactive Poison, Spider Trap",Psychic,,Unseen Forces,Rare Holo,168,5.62,7.55,60.0,7.25,9.99,17.0,3.5,1.5,4.6
xy7-4,Bellossom,Pokémon,Stage 2,120,Grass,Gloom,"Windmill, Flower Tornado",Fire,,Ancient Origins,Uncommon,182,,,,0.13,0.44,2.95,0.22,0.02,0.21
pl1-5,Dialga,Pokémon,Basic,100,Metal,,Time-Space Traveling,Fire,Psychic,Platinum,Rare Holo,483,3.75,8.38,19.99,2.99,5.5,7.99,9.19,0.5,4.57
basep-2,Electabuzz,Pokémon,Basic,60,Lightning,,"Light Screen, Quick Attack",Fighting,,Wizards Black Star Promos,Promo,125,,,,,,,4.68,0.07,4.65
hgss2-1,Jirachi,Pokémon,Basic,60,Psychic,,Time Hollow,Psychic,,HS—Unleashed,Rare Holo,385,4.57,7.04,17.5,3.82,5.96,13.79,4.98,0.28,4.17
basep-1,Pikachu,Pokémon,Basic,60,Lightning,,"Growl, Thundershock",Fighting,,Wizards Black Star Promos,Promo,25,,,,,,,12.01,3.6,8.88
pop4-1,Chimecho δ,Pokémon,Basic,60,Metal,,"Wrap, Sonicboom",Psychic,,POP Series 4,Rare,358,,,,,,,372.5,350.0,174.71
pl4-1,Charizard,Pokémon,Stage 2,140,Fire,Charmeleon,"Fire Wing, Burning Tail",Water,Fighting,Arceus,Rare Holo,6,20.25,35.99,57.95,34.0,46.42,70.0,23.62,3.0,25.17
ex9-3,Exploud,Pokémon,Stage 2,120,Colorless,Loudred,"Collect, Body Slam, Hyper Voice, Mega Throw",Fighting,,Emerald,Rare Holo,295,8.55,14.5,29.99,16.0,27.0,29.99,19.0,1.0,25.61
pop6-4,Pachirisu,Pokémon,Basic,70,Lightning,,"Minor Errand-Running, Thunder Jolt",Fighting,Metal,POP Series 6,Rare,417,,,,,,,0.75,0.2,1.48
ex4-2,Team Aqua's Crawdaunt,Pokémon,Stage 1,80,"Water, Darkness",Team Aqua's Corphish,"Aqua Reverse, Deep Impact",Lightning,,Team Magma vs Team Aqua,Rare Holo,342,5.85,7.02,10.35,5.99,7.99,31.48,8.87,1.0,7.14
xy4-2,Venomoth,Pokémon,Stage 1,90,Grass,Venonat,"Dizzying Wind, Noxious Scales",Fire,,Phantom Forces,Rare,49,,,,0.42,1.0,2.0,0.28,0.04,0.36
pl1-4,Delcatty,Pokémon,Stage 1,90,Colorless,Skitty,"Power Heal, Rear Kick",Fighting,,Platinum,Rare Holo,301,2.69,4.49,24.99,2.06,2.99,4.65,2.05,0.5,2.3
swsh35-3,Kakuna,Pokémon,Stage 1,80,Grass,Weedle,Bug Bite,Fire,,Champion's Path,Common,14,,,,0.05,0.2,2.0,0.06,0.01,0.06
base5-2,Dark Arbok,Pokémon,Stage 1,60,Grass,Ekans,"Stare, Poison Vapor",Psychic,,Team Rocket,Rare Holo,24,,,,,,,9.11,0.5,10.77
pop5-2,Lugia,Pokémon,Basic,80,Psychic,,"Super Psy Bolt, Aerowing",Psychic,,POP Series 5,Rare,249,12.23,31.92,120.0,,,,34.99,29.98,36.51
dp4-2,Cresselia,Pokémon,Basic,80,Psychic,,"Moon Twinkle, Lunar Dance",Psychic,,Great Encounters,Rare Holo,488,4.95,9.0,11.23,1.75,4.95,10.0,1.64,0.19,2.5
pop3-2,Flareon,Pokémon,Stage 1,70,Fire,Eevee,"Quick Attack, Fire Spin",Water,,POP Series 3,Rare,136,7.0,9.72,29.99,,,,8.78,3.0,7.19
pop9-2,Manaphy,Pokémon,Basic,70,Water,,"Dive, Water Glow",Lightning,,POP Series 9,Rare,490,0.99,2.86,6.02,,,,1.73,0.59,0.81
sm5-2,Yanma,Pokémon,Basic,70,Grass,,Super Speed,Lightning,Fighting,Ultra Prism,Common,193,,,,0.12,0.26,1.24,0.04,0.02,0.05
bw5-3,Venusaur,Pokémon,Stage 2,140,Grass,Ivysaur,Poison Powder,Fire,Water,Dark Explorers,Rare Holo,3,2.69,4.19,15.0,6.47,10.99,38.21,4.96,1.0,5.02
ex12-5,Gengar,Pokémon,Stage 2,100,Psychic,Haunter,"Cursed Reaction, Super Psy Bolt",Darkness,Fighting,Legend Maker,Rare Holo,94,14.55,25.01,59.69,45.99,59.33,89.97,9.62,0.99,12.01
pl4-3,Heatran,Pokémon,Basic,100,Fire,,"Fire Fang, Magma Mantle",Water,,Arceus,Rare Holo,485,0.8,1.99,4.99,1.45,2.15,3.29,2.33,0.1,3.51
bw10-4,Cradily,Pokémon,Stage 1,120,Grass,Lileep,"Lifesplosion, Spiral Drain",Fire,Water,Plasma Blast,Rare,346,,,,1.99,2.55,8.18,0.35,0.25,0.73
pop4-3,Flygon,Pokémon,Stage 2,120,Fighting,Vibrava,"Bite, Sand Pit",Water,,POP Series 4,Rare,330,7.0,9.93,14.5,,,,3.19,0.05,2.5
ex9-4,Gardevoir,Pokémon,Stage 2,100,Psychic,Kirlia,"Psypunch, Mind Shock",Psychic,,Emerald,Rare Holo,282,12.79,17.97,29.99,49.99,59.75,87.8,4.38,1.19,4.24
dp4-3,Darkrai,Pokémon,Basic,70,Darkness,,"Reach Over, Darkness Pursuit",Fighting,Psychic,Great Encounters,Rare Holo,491,3.99,5.78,13.67,7.15,8.99,19.57,2.46,0.5,3.61
ecard2-H5,Bellossom,Pokémon,Stage 2,90,Grass,Gloom,Knife Leaf,Fire,Water,Aquapolis,Rare Holo,182,,,,,,,11.22,4.77,14.69
pop1-3,Rayquaza,Pokémon,Basic,80,Colorless,,"Fly, Dragon Claw",Colorless,,POP Series 1,Rare,384,7.99,13.31,39.99,,,,21.84,5.0,27.76
xy4-3,Yanma,Pokémon,Basic,70,Grass,,Air Slash,Lightning,Fighting,Phantom Forces,Common,193,,,,0.15,0.39,2.95,0.18,0.02,0.08
bw11-3,Shuckle,Pokémon,Basic,80,Grass,,"Share, Double Stab",Fire,,Legendary Treasures,Uncommon,213,,,,8.99,10.45,11.99,0.52,0.3,0.48
pop7-4,Latios,Pokémon,Basic,90,Colorless,,"Energy Draw, Luster Purge",Colorless,Fighting,POP Series 7,Rare,381,2.0,3.0,10.83,,,,2.0,0.4,9.64
xy1-1,Venusaur-EX,Pokémon,"Basic, EX",180,Grass,,"Poison Powder, Jungle Hammer",Fire,,XY,Rare Holo EX,3,1.7,3.1,12.95,,,,8.11,2.0,16.02
neo3-1,Ampharos,Pokémon,Stage 2,90,Lightning,Flaaffy,"Attract Current, Gigavolt",Fighting,,Neo Revelation,Rare Holo,181,,,,,,,17.81,4.5,21.19
bw5-2,Ivysaur,Pokémon,Stage 1,90,Grass,Bulbasaur,"Sleep Powder, Poison Powder",Fire,Water,Dark Explorers,Uncommon,2,,,,11.87,15.08,25.99,3.23,0.5,3.03
sm2-2,Weepinbell,Pokémon,Stage 1,80,Grass,Bellsprout,Muddy Acid,Fire,,Guardians Rising,Uncommon,70,,,,0.13,0.27,2.16,0.11,0.02,0.09
bw7-2,Gloom,Pokémon,Stage 1,80,Grass,Oddish,"Foul Odor, Poison Powder",Fire,Water,Boundaries Crossed,Uncommon,44,,,,0.89,1.05,4.24,0.19,0.02,0.19
dv1-4,Dragonair,Pokémon,Stage 1,70,Dragon,Dratini,"Healing Melody, Slam",Dragon,,Dragon Vault,Rare Holo,148,2.29,5.0,14.95,,,,4.95,0.45,4.43
dp1-2,Dusknoir,Pokémon,Stage 2,120,Psychic,Dusclops,Hard Feelings,Darkness,Colorless,Diamond & Pearl,Rare Holo,477,2.5,4.4,10.46,2.75,3.87,10.97,4.46,0.49,3.83
dp3-4,Entei,Pokémon,Basic,80,Fire,,Blaze Roar,Water,,Secret Wonders,Rare Holo,244,8.71,12.0,15.12,5.12,9.4,29.97,4.5,0.25,4.71
xy11-3,Hoppip,Pokémon,Basic,40,Grass,,Splash,Fire,,Steam Siege,Common,187,,,,0.06,0.25,1.36,0.04,0.02,0.04
swsh1-2,Roselia,Pokémon,Basic,70,Grass,,Absorb,Fire,,Sword & Shield,Common,315,,,,0.04,0.25,2.95,0.05,0.02,0.06
bw4-2,Seedot,Pokémon,Basic,40,Grass,,Trip Over,Fire,Water,Next Destinies,Common,273,,,,0.25,0.49,2.62,0.09,0.02,0.1
sm9-4,Kakuna,Pokémon,Stage 1,80,Grass,Weedle,Bug Bite,Fire,,Team Up,Uncommon,14,,,,0.19,0.35,1.54,0.15,0.02,0.15
ex10-1,Ampharos,Pokémon,Stage 2,120,Lightning,Flaaffy,Miraculous Thunder,Fighting,Metal,Unseen Forces,Rare Holo,181,18.36,21.94,29.99,19.98,22.49,40.63,14.24,1.0,8.27
si1-4,Togepi,Pokémon,Basic,40,Colorless,,Bawl,,Psychic,Southern Islands,,175,,,,26.0,27.12,44.99,25.2,10.99,30.77
dp1-3,Electivire,Pokémon,Stage 1,100,Lightning,Electabuzz,Giga Impact,Fighting,Metal,Diamond & Pearl,Rare Holo,466,2.5,3.21,16.2,2.95,4.87,19.0,26.47,29.99,27.14
sm12-3,Gloom,Pokémon,Stage 1,80,Grass,Oddish,Sleep Powder,Fire,,Cosmic Eclipse,Uncommon,44,,,,0.28,0.44,2.0,0.12,0.02,0.08
hgss1-5,Hitmontop,Pokémon,Basic,60,Fighting,,"Triple Kick, Close Combat",Psychic,,HeartGold & SoulSilver,Rare Holo,237,2.0,3.23,13.0,1.67,2.36,5.95,3.19,0.1,3.02
ex3-5,Golem,Pokémon,Stage 2,120,Fighting,Graveler,"Rock Vengeance, Rock Slide",Water,,Dragon,Rare Holo,76,10.34,14.38,19.98,6.67,9.39,14.0,26.33,1.0,19.52
ex4-3,Team Aqua's Kyogre,Pokémon,Basic,100,"Water, Darkness",,"Aqua Trip, Aqua Smash",Grass,,Team Magma vs Team Aqua,Rare Holo,382,32.4,35.02,41.03,37.84,46.95,49.95,3.67,0.25,1.39
dv1-5,Dragonite,Pokémon,Stage 2,150,Dragon,Dragonair,"Hyper Beam, Hurricane Tail",Dragon,,Dragon Vault,Rare Holo,149,3.21,6.97,49.95,,,,6.11,0.3,3.92
dp3-5,Flygon,Pokémon,Stage 2,120,Fighting,Vibrava,Sand Sonic,Water,Lightning,Secret Wonders,Rare Holo,330,3.71,7.79,13.62,2.35,2.88,5.66,3.71,0.2,4.88
bw1-3,Servine,Pokémon,Stage 1,80,Grass,Snivy,"Wrap, Tackle",Fire,Water,Black & White,Uncommon,496,,,,0.68,0.8,1.83,0.18,0.02,0.15
ex8-3,Breloom,Pokémon,Stage 1,80,Fighting,Shroomish,"Leaf Poison, Hustle Punch",Psychic,,Deoxys,Rare Holo,286,5.0,17.49,23.44,7.44,10.71,11.67,7.66,0.8,7.22
neo3-2,Blissey,Pokémon,Stage 1,120,Colorless,Chansey,Body Slam,Fighting,Psychic,Neo Revelation,Rare Holo,242,,,,,,,15.92,2.0,14.34
neo4-3,Dark Donphan,Pokémon,Stage 1,60,Fighting,Phanpy,"Tusk Toss, Giant Tusk",Grass,Lightning,Neo Destiny,Rare Holo,232,,,,,,,18.36,9.92,18.24
bw7-3,Vileplume,Pokémon,Stage 2,140,Grass,Gloom,Pollen Spray,Fire,Water,Boundaries Crossed,Rare Holo,45,1.0,1.8,2.03,1.5,1.97,3.08,2.04,0.3,1.74
dpp-DP03,Piplup,Pokémon,Basic,60,Water,,"Peck, Water Splash",Lightning,,DP Black Star Promos,Promo,393,3.0,6.72,14.99,,,,,,
sm115-4,Paras,Pokémon,Basic,70,Grass,,"Scratch, Slash",Fire,,Hidden Fates,Common,46,,,,0.11,0.24,1.45,0.04,0.02,0.03
xy2-5,Seedot,Pokémon,Basic,50,Grass,,Call for Family,Fire,,Flashfire,Common,273,,,,0.1,0.35,3.0,0.1,0.02,0.05
ex14-2,Blastoise δ,Pokémon,Stage 2,110,"Fighting, Metal",Wartortle,"Enraged Linear Attack, Skull Bash",Lightning,,Crystal Guardians,Rare Holo,9,35.87,44.98,75.0,39.87,78.83,99.99,26.93,3.0,22.9
det1-5,Charizard,Pokémon,Stage 2,180,Fire,Charmeleon,"Slash, Wild Tackle",Water,,Detective Pikachu,Rare Ultra,6,3.51,6.38,19.99,,,,8.4,3.0,9.47
pl1-6,Dialga,Pokémon,Basic,100,Metal,,Metal Burn,Fire,Psychic,Platinum,Rare Holo,483,2.5,5.37,11.75,3.49,4.21,8.0,2.86,0.5,3.28
dpp-DP04,Pachirisu,Pokémon,Basic,70,Lightning,,"Minor Errand-Running, Thunder Jolt",Fighting,Metal,DP Black Star Promos,Promo,417,1.25,1.94,5.0,,,,,,
xy5-5,Tangrowth,Pokémon,Stage 1,130,Grass,Tangela,"Mega Drain, Grass Knot",Fire,,Primal Clash,Rare,465,,,,0.15,0.5,2.0,0.35,0.02,0.3
xy2-6,Nuzleaf,Pokémon,Stage 1,80,Grass,Seedot,"Razor Leaf, Cut",Fire,,Flashfire,Uncommon,274,,,,0.21,0.5,1.59,0.1,0.02,0.12
ex14-3,Camerupt,Pokémon,Stage 1,80,Fire,Numel,"Linear Attack, Combustion",Water,,Crystal Guardians,Rare Holo,323,1.75,2.15,11.0,2.0,3.5,5.55,3.14,0.7,4.28
base5-3,Dark Blastoise,Pokémon,Stage 2,70,Water,Dark Wartortle,"Hydrocannon, Rocket Tackle",Lightning,,Team Rocket,Rare Holo,9,,,,,,,84.01,15.0,110.32
neo4-4,Dark Espeon,Pokémon,Stage 1,60,Psychic,Eevee,"Gouge, Psysplash",Psychic,,Neo Destiny,Rare Holo,196,,,,,,,67.44,15.0,67.32
hgss4-6,Nidoking,Pokémon,Stage 2,140,Fighting,Nidorino,Venomous Horn,Water,Lightning,HS—Triumphant,Rare Holo,34,2.0,3.41,9.99,1.75,2.52,10.0,1.8,0.1,1.62
bw8-3,Torterra,Pokémon,"Stage 2, Team Plasma",150,Grass,Grotle,"Guard Press, Rumble Stomp",Fire,Water,Plasma Storm,Rare,389,,,,1.5,2.75,4.55,2.03,0.15,1.58
sm75-3,Charizard,Pokémon,Stage 2,160,Fire,Charmeleon,Fiery Blast,Water,,Dragon Majesty,Rare Holo,6,3.0,5.06,15.68,4.21,10.52,39.99,4.04,2.49,3.76
xy11-5,Jumpluff,Pokémon,Stage 2,90,Grass,Skiploom,"Fluffy Transport, Solar Step",Fire,,Steam Siege,Rare,189,,,,0.21,0.46,3.5,0.12,0.05,0.14
det1-6,Arcanine,Pokémon,Stage 1,120,Fire,Growlithe,Sharp Fang,Water,,Detective Pikachu,Rare,59,0.47,1.27,4.95,,,,2.53,0.75,2.9
bw9-2,Kakuna,Pokémon,Stage 1,80,Grass,Weedle,Hide,Fire,,Plasma Freeze,Uncommon,14,,,,0.2,0.47,6.01,0.11,0.02,0.12
pop3-4,Minun,Pokémon,Basic,50,Lightning,,"Cheer Up, Negative Ion, Power Bolt",Fighting,Metal,POP Series 3,Rare,312,3.11,6.35,7.6,,,,65.33,1.0,44.41
bw4-4,Kricketune,Pokémon,Stage 1,90,Grass,Kricketot,"White Noise, Draining Cut",Fire,,Next Destinies,Uncommon,402,,,,0.2,0.43,3.57,0.08,0.02,0.15
hgss1-6,Jumpluff,Pokémon,Stage 2,90,Grass,Skiploom,"Mass Attack, Leaf Guard",Fire,Fighting,HeartGold & SoulSilver,Rare Holo,189,3.12,4.37,7.98,2.95,4.27,6.3,2.89,0.4,3.41
sm12-4,Vileplume-GX,Pokémon,"Stage 2, GX",240,Grass,Gloom,"Massive Bloom, Allergic Explosion-GX",Fire,,Cosmic Eclipse,Rare Holo GX,45,3.25,5.0,19.99,,,,5.38,1.5,5.35
xy5-6,Treecko,Pokémon,Basic,60,Grass,,Quick Attack,Fire,,Primal Clash,Common,252,,,,0.19,0.5,8.92,0.15,0.02,0.12
mcd19-7,Gastly,Pokémon,Basic,50,Psychic,,Ominous Eyes,Darkness,Fighting,McDonald's Collection 2019,,92,4.71,8.99,11.4,,,,3.57,0.5,1.75
gym2-5,Giovanni's Gyarados,Pokémon,Stage 1,90,Water,Giovanni's Magikarp,"Summon Storm, Dragon Tornado",Grass,Fighting,Gym Challenge,Rare Holo,130,,,,,,,52.9,14.97,65.72
base4-5,Clefable,Pokémon,Stage 1,70,Colorless,Clefairy,"Metronome, Minimize",Fighting,Psychic,Base Set 2,Rare Holo,36,4.6,11.14,29.99,,,,6.89,3.48,6.17
