id,name,rarity,Jul-24,Aug-24,Sep-24,1/10/2024,8/10/2024,tcgplayer_holofoil_low,tcgplayer_holofoil_mid,tcgplayer_holofoil_high,tcgplayer_holofoil_market,tcgplayer_holofoil_directLow
dp3-1,Ampharos,Rare Holo,12.75,11.97,13.78,14.49,14.63,5.61,14.81,44.99,14.63,
ex12-1,Aerodactyl,Rare Holo,21,20.69,19.8,20.2,20.52,13.02,19.82,39.99,20.52,
mcd19-1,Caterpie,,2.12,1.83,1.83,1.1,1.06,4.44,5.28,10.26,5.27,
ex7-1,Azumarill,Rare Holo,7.35,13.59,13.7,19.35,23.04,13.17,17.99,29.99,23.04,
sm9-1,Celebi & Venusaur-GX,Rare Holo GX,2.38,2.25,1.75,1.63,2.25,8.99,11.14,19.99,11.39,9.74
pl1-2,Blastoise,Rare Holo,17.67,16.45,16,17.88,23.97,9.76,13.09,29.99,17.67,
ex3-2,Altaria,,,,,,,,,,,
sm9-2,Weedle,,,,,,,,,,,
mcd19-2,Alolan Exeggutor,,,,,,,,,,,
xy5-2,Kakuna,,,,,,,,,,,
sm12-1,Venusaur & Snivy-GX,,,,,,,,,,,
si1-1,Mew,,,,,,,,,,,
sm3-1,Caterpie,,,,,,,,,,,
pop7-1,Ampharos,,,,,,,,,,,
bw1-2,Snivy,,,,,,,,,,,
base4-3,Chansey,,,,,,,,,,,
hgss4-3,Celebi,,,,,,,,,,,
ex7-3,Dark Crobat,,,,,,,,,,,
swsh35-2,Weedle,,,,,,,,,,,
xy2-3,Butterfree,,,,,,,,,,,
sm9-3,Weedle,,,,,,,,,,,
sm1-2,Metapod,,,,,,,,,,,
mcd19-3,Magmar,,,,,,,,,,,
dp3-3,Charizard,,,,,,,,,,,
base1-1,Alakazam,,,,,,,,,,,
ex8-1,Altaria,,,,,,,,,,,
pop5-1,Ho-Oh,,,,,,,,,,,
xy10-1,Shuckle,,,,,,,,,,,
ecard2-H1,Ampharos,,,,,,,,,,,
base4-1,Alakazam,Rare Holo,16.78,16.99,23.5,24.05,26.48,12.99,24.09,159.99,26.28,
ex11-1,Beedrill δ,Rare Holo,11.23,7.82,11.5,11,9.91,16.5,18.78,24.99,19.89,16.5
base3-2,Articuno,,,,,,,,,,,
gym1-2,Brock's Rhydon,,,,,,,,,,,
ex14-1,Banette,,,,,,,,,,,
sm115-1,Caterpie,,,,,,,,,,,
col1-1,Clefable,,,,,,,,,,,
ex9-1,Blaziken,,,,,,,,,,,
bw10-1,Surskit,,,,,,,,,,,
ex9-2,Deoxys,,,,,,,,,,,
ru1-3,Ninetales,,,,,,,,,,,
xy5-3,Beedrill,,,,,,,,,,,
pl3-3,Drifblim FB,,,,,,,,,,,
xy7-2,Gloom,,,,,,,,,,,
bw10-2,Masquerain,,,,,,,,,,,
ex12-3,Cradily,,,,,,,,,,,
xy11-2,Tangrowth,,,,,,,,,,,
ex3-3,Crawdaunt,,,,,,,,,,,
dv1-3,Dragonair,,,,,,,,,,,
xy4-1,Venonat,,,,,,,,,,,
bw4-1,Pinsir,,,,,,,,,,,
bw7-1,Oddish,,,,,,,,,,,
sm5-1,Exeggcute,,,,,,,,,,,
sm8-1,Tangela,,,,,,,,,,,
hgss4-1,Aggron,Rare Holo,3.35,2.77,3.04,3.24,3.15,1.5,2.73,4.04,3.13,
xy5-1,Weedle,Common,0.11,0.12,0.14,0.11,0.05,,,,,
pl1-1,Ampharos,Rare Holo,9.6,8,10.55,11.69,12.6,3.75,8.5,13.99,13.04,
det1-1,Bulbasaur,Common,0.5,0.43,0.35,1.43,1.47,0.09,0.39,8.4,0.36,0.29
dv1-1,Dratini,Rare Holo,0.91,0.68,0.87,0.87,0.85,0.5,1.43,89,1.42,0.97
pl3-1,Absol G,Rare Holo,6.49,6,8,4,4.48,4.12,6.89,12.95,6.65,3.52
xy2-1,Caterpie,Common,0.12,0.1,0.14,0.07,0.1,0.15,0.5,3,0.62,
pop6-1,Bastiodon,,,,,,,,,,,
ecard2-H2,Arcanine,,,,,,,,,,,
hgss4-2,Altaria,,,,,,,,,,,
pl3-2,Blaziken FB,,,,,,,,,,,
ex11-2,Crobat δ,,,,,,,,,,,
pop6-2,Lucario,,,,,,,,,,,
base4-2,Blastoise,,,,,,,,,,,
ex12-2,Aggron,,,,,,,,,,,
ex7-2,Dark Ampharos,,,,,,,,,,,
xy11-1,Tangela,,,,,,,,,,,
bw1-1,Snivy,,,,,,,,,,,
gym2-1,Blaine's Arcanine,,,,,,,,,,,
swsh35-1,Venusaur V,,,,,,,,,,,
sm1-1,Caterpie,,,,,,,,,,,
ex13-1,Armaldo δ,,,,,,,,,,,
pop6-3,Manaphy,,,,,,,,,,,
ex11-3,Dragonite δ,,,,,,,,,,,
ex13-2,Cradily δ,,,,,,,,,,,
gym2-2,Blaine's Charizard,,,,,,,,,,,
det1-3,Morelull,,,,,,,,,,,
pop7-2,Gallade,,,,,,,,,,,
col1-2,Deoxys,,,,,,,,,,,
pl1-3,Blaziken,,,,,,,,,,,
sm115-2,Metapod,,,,,,,,,,,
sm2-1,Bellsprout,,,,,,,,,,,
ex4-1,Team Aqua's Cacturne,,,,,,,,,,,
bw9-1,Weedle,,,,,,,,,,,
ex3-1,Absol,Rare Holo,22.22,20.22,42.26,30.8,39.48,24.7,42.26,46.94,39.48,
ru1-1,Venusaur,,59.99,49.43,39.43,48.82,55,60,95,105.66,55,
hgss1-1,Arcanine,Rare Holo,16,16,18.46,19.46,23.06,10.97,20.7,35.7,23.43,
gym1-1,Blaine's Moltres,Rare Holo,18,20.09,23.99,20,21.18,40.5,55.99,179,59.86,40.95
base3-1,Aerodactyl,Rare Holo,6.17,4.41,7.09,4.92,5.95,10.77,14.31,39.63,22.4,16
dp3-2,Blastoise,,,,,,,,,,,
xy2-2,Metapod,,,,,,,,,,,
hgss1-2,Azumarill,,,,,,,,,,,
det1-2,Ludicolo,,,,,,,,,,,
ru1-2,Cherrim,,,,,,,,,,,
dp1-1,Dialga,,,,,,,,,,,
xy7-1,Oddish,,,,,,,,,,,
dv1-2,Dratini,,,,,,,,,,,
ecard2-H3,Ariados,,,,,,,,,,,
sm12-2,Oddish,,,,,,,,,,,
si1-2,Pidgeot,,,,,,,,,,,
base3-3,Ditto,,,,,,,,,,,
hgss1-3,Clefable,,,,,,,,,,,
gym1-3,Erika's Clefable,,,,,,,,,,,
base5-1,Dark Alakazam,,,,,,,,,,,
bw11-1,Tangela,,,,,,,,,,,
pop3-1,Blastoise,,,,,,,,,,,
dp4-1,Blaziken,,,,,,,,,,,
bw5-1,Bulbasaur,,,,,,,,,,,
dpp-DP01,Turtwig,,,,,,,,,,,
swsh1-1,Celebi V,,,,,,,,,,,
base6-1,Alakazam,,,,,,,,,,,
pop9-1,Garchomp,,,,,,,,,,,
mcd19-4,Alolan Sandshrew,,,,,,,,,,,
sm115-3,Butterfree,,,,,,,,,,,
base3-4,Dragonite,,,,,,,,,,,
det1-4,Charmander,,,,,,,,,,,
pop4-2,Deoxys δ,,,,,,,,,,,
ex12-4,Delcatty,,,,,,,,,,,
ex3-4,Flygon,,,,,,,,,,,
xy2-4,Pineco,,,,,,,,,,,
ex11-4,Espeon δ,,,,,,,,,,,
gym2-3,Brock's Ninetales,,,,,,,,,,,
pop1-2,Metagross,,,,,,,,,,,
pl4-2,Froslass,,,,,,,,,,,
sm3-2,Metapod,,,,,,,,,,,
bw10-3,Lileep,,,,,,,,,,,
hgss4-4,Drapion,,,,,,,,,,,
ex13-3,Deoxys δ,,,,,,,,,,,
bw6-1,Hoppip,,,,,,,,,,,
xy11-4,Skiploom,,,,,,,,,,,
hgss4-5,Mamoswine,,,,,,,,,,,
sm5-3,Yanmega,,,,,,,,,,,
pl3-4,Electivire FB,,,,,,,,,,,
swsh4-2,Kakuna,,,,,,,,,,,
gym2-4,Erika's Venusaur,,,,,,,,,,,
pop3-3,Jolteon,,,,,,,,,,,
base6-3,Charizard,,,,,,,,,,,
bw4-3,Kricketot,,,,,,,,,,,
hgss2-2,Magmortar,,,,,,,,,,,
swsh4-1,Weedle,,,,,,,,,,,
pop1-1,Blaziken,,,,,,,,,,,
bw8-1,Turtwig,,,,,,,,,,,
neo4-1,Dark Ampharos,,,,,,,,,,,
pop7-3,Latias,,,,,,,,,,,
hgss1-4,Gyarados,,,,,,,,,,,
xy1-2,M Venusaur-EX,,,,,,,,,,,
ex8-2,Beautifly,,,,,,,,,,,
dpp-DP02,Chimchar,,,,,,,,,,,
col1-3,Dialga,,,,,,,,,,,
bw11-2,Tangrowth,,,,,,,,,,,
ecard2-H4,Azumarill,,,,,,,,,,,
neo4-2,Dark Crobat,,,,,,,,,,,
base6-2,Articuno,,,,,,,,,,,
si1-3,Onix,,,,,,,,,,,
base4-4,Charizard,,,,,,,,,,,
bw8-2,Grotle,,,,,,,,,,,
xy7-3,Vileplume,,,,,,,,,,,
sm75-1,Charmander,,,,,,,,,,,
ex7-4,Dark Electrode,,,,,,,,,,,
swsh1-3,Roselia,,,,,,,,,,,
xy5-4,Tangela,,,,,,,,,,,
ex11-5,Flareon δ,,,,,,,,,,,
base3-5,Gengar,,,,,,,,,,,
ex10-2,Ariados,,,,,,,,,,,
xy7-4,Bellossom,,,,,,,,,,,
pl1-5,Dialga,,,,,,,,,,,
basep-2,Electabuzz,,,,,,,,,,,
hgss2-1,Jirachi,,,,,,,,,,,
basep-1,Pikachu,Promo,4.05,6.49,6.11,6.52,6.09,,,,,
mcd19-6,Pikachu,,6.75,6.95,8.2,8.75,9.25,8.96,12.74,19.9,14.95,
basep-4,Pikachu,Promo,1.99,2.79,2.49,2.75,2.11,3.99,9.99,89,9.99,5.49
det1-10,Pikachu,Rare ,2.26,2.47,1.7,3.14,2.05,1.69,2.85,9.99,2.89,2.27
ru1-7,Pikachu,,60,62.99,59.99,38.58,35,135.99,139.99,349.95,137.5,
pop6-9,Pikachu,Uncommon,15.21,12.48,7.99,8.24,10,32.99,38.68,50,38.66,
smp-SM04,Pikachu,Promo,5.04,4.81,4.9,5.41,6,4,6,12.1,5.43,
hsp-HGSS03,Pikachu,Promo,1.99,1.88,2.35,1.41,1.9,2,3.9,89,3.87,5
pop4-13,Pikachu,Common,9.46,11.75,12.49,10,11.5,23.78,49.99,115,66.24,
pop9-15,Pikachu,Common,1.25,1.75,1.3,1.27,1.43,1.62,4.95,98,5.21,
dpp-DP16,Pikachu,Promo,35,35,39.99,35,23.66,33.77,38.34,150,34.33,
pop5-12,Pikachu,Common,8.45,8.45,9.97,13.65,16.49,33.99,45,70.99,36.74,
pop5-13,Pikachu,Common,13.55,13.99,4.95,4,4.99,7.99,12.47,16.31,13.7,
sm115-19,Pikachu,Common,0.05,0.18,0.25,0.14,0.13,0.25,0.8,4,0.91,0.32
ex13-104,Pikachu,Rare Holo Star,310,200.75,225,249.99,304.15,999.99,1999.99,2499.95,304.15,
swsh4-188,Pikachu,Rare Rainbow,110.94,118,104.99,109.45,109.33,89.77,120.89,346.95,109.33,111.44
swshp-SWSH074,Pikachu,Promo,107.75,110,105.99,105,117.91,104.99,121.64,399.99,105.67,121.63
basep-24,Pikachu,Promo,94.75,109.26,104.97,84.99,94.01,82.94,100.05,175,101.07,84.99
svp-85,Pikachu,Promo,92.69,91.39,95.17,114.99,116,113.49,149.99,300,105.34,
sm9-184,Pikachu,Rare Rainbow,90.99,94.92,106.99,106,109.97,61,109.68,499.95,102.93,109.68
sm9-162,Pikachu,Rare Ultra,38.15,30.25,34.99,39.18,39.86,34.27,56.42,149.99,55.56,
smp-SM168,Pikachu,Promo,26.8,29.7,34.99,30.96,36.2,23.5,30.96,179,31.09,31.71
xyp-XY124,Pikachu,Promo,54.98,55.09,89.99,100.63,109.33,23.5,55.09,202.53,109.33,54.97
swsh11tg-TG17,Pikachu,Rare Holo VMAX,35.97,32.55,29.25,37.1,32.87,28.06,42.78,179,35.01,32.95
swshp-SWSH145,Pikachu,Promo,28.45,23.79,21.5,20.56,20,19.01,23.63,179,21.42,20.48
swsh4-170,Pikachu,Rare Ultra,10.83,7.87,7.21,6,9.78,5.48,10.59,36.03,8.91,9.99
xyp-XY84,Pikachu,Promo,18.24,15.02,14.44,13.5,15.02,12.52,23.35,39.99,24.21,18.73
pop4-1,Chimecho δ,,,,,,,,,,,
pl4-1,Charizard,,,,,,,,,,,
ex9-3,Exploud,,,,,,,,,,,
pop6-4,Pachirisu,,,,,,,,,,,
ex4-2,Team Aqua's Crawdaunt,,,,,,,,,,,
xy4-2,Venomoth,,,,,,,,,,,
pl1-4,Delcatty,,,,,,,,,,,
swsh35-3,Kakuna,,,,,,,,,,,
base5-2,Dark Arbok,,,,,,,,,,,
pop5-2,Lugia,,,,,,,,,,,
dp4-2,Cresselia,,,,,,,,,,,
pop3-2,Flareon,,,,,,,,,,,
pop9-2,Manaphy,,,,,,,,,,,
sm5-2,Yanma,,,,,,,,,,,
bw5-3,Venusaur,,,,,,,,,,,
ex12-5,Gengar,,,,,,,,,,,
pl4-3,Heatran,,,,,,,,,,,
bw10-4,Cradily,,,,,,,,,,,
pop4-3,Flygon,,,,,,,,,,,
ex9-4,Gardevoir,,,,,,,,,,,
dp4-3,Darkrai,,,,,,,,,,,
ecard2-H5,Bellossom,,,,,,,,,,,
pop1-3,Rayquaza,,,,,,,,,,,
xy4-3,Yanma,,,,,,,,,,,
bw11-3,Shuckle,,,,,,,,,,,
pop7-4,Latios,,,,,,,,,,,
xy1-1,Venusaur-EX,,,,,,,,,,,
neo3-1,Ampharos,,,,,,,,,,,
bw5-2,Ivysaur,,,,,,,,,,,
sm2-2,Weepinbell,,,,,,,,,,,
bw7-2,Gloom,,,,,,,,,,,
dv1-4,Dragonair,,,,,,,,,,,
dp1-2,Dusknoir,,,,,,,,,,,
dp3-4,Entei,,,,,,,,,,,
xy11-3,Hoppip,,,,,,,,,,,
swsh1-2,Roselia,,,,,,,,,,,
bw4-2,Seedot,,,,,,,,,,,
sm9-4,Kakuna,,,,,,,,,,,
ex10-1,Ampharos,,,,,,,,,,,
si1-4,Togepi,,,,,,,,,,,
dp1-3,Electivire,,,,,,,,,,,
sm12-3,Gloom,,,,,,,,,,,
hgss1-5,Hitmontop,,,,,,,,,,,
ex3-5,Golem,,,,,,,,,,,
ex4-3,Team Aqua's Kyogre,,,,,,,,,,,
dv1-5,Dragonite,,,,,,,,,,,
dp3-5,Flygon,,,,,,,,,,,
bw1-3,Servine,,,,,,,,,,,
ex8-3,Breloom,,,,,,,,,,,
neo3-2,Blissey,,,,,,,,,,,
neo4-3,Dark Donphan,,,,,,,,,,,
bw7-3,Vileplume,,,,,,,,,,,
