id,name,averageSellPrice,lowPrice,trendPrice,germanProLow,suggestedPrice,reverseHoloSell,reverseHoloLow,reverseHoloTrend,lowPriceExPlus,avg1,avg7,avg30,reverseHoloAvg1,reverseHoloAvg7,reverseHoloAvg30
hgss4-1,Aggron,2.69,0.4,2.14,0.0,0.0,,,,0.79,9.98,3.14,2.71,,,
xy5-1,Weedle,0.11,0.02,0.12,0.0,0.0,,,,0.02,0.37,0.17,0.11,,,
pl1-1,Ampharos,3.0,0.6,4.09,0.0,0.0,,,,1.4,6.99,3.43,3.78,,,
dp3-1,Ampharos,2.47,0.1,2.18,0.0,0.0,,,,1.12,0.1,1.62,1.51,,,
det1-1,Bulbasaur,0.35,0.02,0.36,0.0,0.0,,,,0.02,0.35,0.38,0.35,,,
dv1-1,Dratini,1.48,0.15,1.37,0.0,0.0,,,,0.25,0.19,1.6,1.74,,,
mcd19-1,Caterpie,2.25,0.02,2.04,0.0,0.0,,,,1.44,1.58,2.38,2.04,,,
pl3-1,Absol G,9.31,1.5,6.97,0.0,0.0,,,,4.15,3.93,6.87,7.68,,,
ex12-1,Aerodactyl,8.63,2.0,8.55,0.0,0.0,,,,5.75,3.9,7.9,9.08,,,
ex3-1,Absol,2.99,1.97,9.77,0.0,0.0,,,,13.0,3.0,8.41,16.66,,,
ru1-1,Venusaur,30.0,18.99,38.9,0.0,0.0,,,,25.0,30.0,26.78,40.37,,,
ecard2-H1,Ampharos,18.22,8.0,32.36,0.0,0.0,,,,35.0,22.0,21.36,27.17,,,
base4-1,Alakazam,23.51,6.0,18.62,0.0,0.0,,,,22.0,15.7,26.85,25.46,,,
hgss1-1,Arcanine,5.58,0.45,5.97,0.0,0.0,,,,2.95,14.22,5.8,6.37,,,
ex11-1,Beedrill Î´,12.0,2.2,10.92,0.0,0.0,,,,5.0,5.0,18.05,12.22,,,
ex7-1,Azumarill,1.81,1.0,4.5,0.0,0.0,,,,2.5,2.0,2.13,6.68,,,
gym1-1,Blaine's Moltres,42.5,12.0,45.94,0.0,0.0,,,,38.99,23.5,30.5,36.43,,,